val,node,T0,T1,T2,T3,T4,T5
253,TcpNode0,1617741275697,1617741275697,1617741275701,1617741275702,1617741275704,1617741275704
254,TcpNode2,1617741275707,1617741275707,1617741275710,1617741275713,1617741275716,1617741275716
255,TcpNode0,1617741275717,1617741275717,1617741275720,1617741275722,1617741275723,1617741275724
256,TcpNode0,1617741275733,1617741275733,1617741275737,1617741275739,1617741275741,1617741275741
257,TcpNode2,1617741275743,1617741275743,1617741275746,1617741275749,1617741275752,1617741275752
258,TcpNode0,1617741275753,1617741275753,1617741275761,1617741275762,1617741275764,1617741275764
259,TcpNode0,1617741275773,1617741275773,1617741275777,1617741275778,1617741275779,1617741275780
260,TcpNode2,1617741275783,1617741275783,1617741275787,1617741275792,1617741275793,1617741275794
261,TcpNode0,1617741275794,1617741275794,1617741275798,1617741275799,1617741275801,1617741275801
262,TcpNode0,1617741275810,1617741275810,1617741275813,1617741275815,1617741275817,1617741275817
263,TcpNode2,1617741275820,1617741275820,1617741275823,1617741275825,1617741275829,1617741275829
264,TcpNode0,1617741275830,1617741275830,1617741275833,1617741275840,1617741275842,1617741275842
265,TcpNode2,1617741275840,1617741275840,1617741275845,1617741275848,1617741275851,1617741275852
266,TcpNode0,1617741275852,1617741275852,1617741275856,1617741275857,1617741275860,1617741275861
267,TcpNode2,1617741275862,1617741275862,1617741275865,1617741275867,1617741275868,1617741275869
268,TcpNode0,1617741275877,1617741275877,1617741275882,1617741275892,1617741275894,1617741275894
269,TcpNode2,1617741275887,1617741275887,1617741275890,1617741275894,1617741275896,1617741275896
270,TcpNode0,1617741275897,1617741275897,1617741275901,1617741275902,1617741275904,1617741275904
272,TcpNode2,1617741275927,1617741275927,1617741275931,1617741275934,1617741275935,1617741275935
271,TcpNode0,1617741275917,1617741275917,1617741275920,1617741275956,1617741275958,1617741275960
273,TcpNode0,1617741275937,1617741275937,1617741275957,1617741275959,1617741275961,1617741275962
274,TcpNode2,1617741275947,1617741275947,1617741275950,1617741275957,1617741275961,1617741275965
275,TcpNode2,1617741275957,1617741275957,1617741275961,1617741275964,1617741275968,1617741275968
276,TcpNode0,1617741275983,1617741275983,1617741275987,1617741275989,1617741275991,1617741275991
277,TcpNode2,1617741275993,1617741275993,1617741275997,1617741275998,1617741276000,1617741276000
278,TcpNode0,1617741276008,1617741276008,1617741276012,1617741276014,1617741276016,1617741276016
279,TcpNode2,1617741276018,1617741276018,1617741276021,1617741276024,1617741276028,1617741276028
280,TcpNode0,1617741276028,1617741276028,1617741276032,1617741276033,1617741276036,1617741276036
281,TcpNode0,1617741276043,1617741276043,1617741276047,1617741276048,1617741276050,1617741276050
282,TcpNode2,1617741276053,1617741276053,1617741276057,1617741276059,1617741276061,1617741276061
283,TcpNode0,1617741276069,1617741276069,1617741276072,1617741276074,1617741276075,1617741276076
284,TcpNode2,1617741276079,1617741276079,1617741276082,1617741276085,1617741276088,1617741276088
285,TcpNode0,1617741276089,1617741276089,1617741276092,1617741276093,1617741276095,1617741276095
286,TcpNode0,1617741276106,1617741276106,1617741276110,1617741276111,1617741276113,1617741276113
287,TcpNode2,1617741276116,1617741276116,1617741276119,1617741276121,1617741276124,1617741276124
288,TcpNode0,1617741276126,1617741276126,1617741276129,1617741276130,1617741276132,1617741276132
289,TcpNode0,1617741276140,1617741276140,1617741276143,1617741276154,1617741276156,1617741276157
290,TcpNode2,1617741276150,1617741276150,1617741276153,1617741276158,1617741276160,1617741276160
291,TcpNode0,1617741276160,1617741276160,1617741276164,1617741276166,1617741276168,1617741276168
292,TcpNode0,1617741276180,1617741276180,1617741276183,1617741276185,1617741276186,1617741276187
293,TcpNode2,1617741276190,1617741276190,1617741276194,1617741276196,1617741276197,1617741276198
294,TcpNode0,1617741276209,1617741276209,1617741276213,1617741276215,1617741276217,1617741276218
295,TcpNode2,1617741276219,1617741276219,1617741276222,1617741276224,1617741276226,1617741276226
296,TcpNode0,1617741276235,1617741276235,1617741276238,1617741276244,1617741276246,1617741276246
297,TcpNode2,1617741276245,1617741276245,1617741276249,1617741276253,1617741276255,1617741276256
298,TcpNode0,1617741276255,1617741276255,1617741276260,1617741276261,1617741276263,1617741276263
299,TcpNode0,1617741276271,1617741276271,1617741276275,1617741276287,1617741276289,1617741276289
300,TcpNode2,1617741276281,1617741276281,1617741276285,1617741276289,1617741276291,1617741276292
301,TcpNode0,1617741276291,1617741276291,1617741276295,1617741276309,1617741276311,1617741276312
302,TcpNode2,1617741276305,1617741276305,1617741276309,1617741276310,1617741276313,1617741276313
303,TcpNode0,1617741276315,1617741276315,1617741276318,1617741276320,1617741276321,1617741276321
304,TcpNode0,1617741276335,1617741276335,1617741276338,1617741276340,1617741276342,1617741276342
305,TcpNode2,1617741276345,1617741276345,1617741276349,1617741276351,1617741276354,1617741276355
307,TcpNode2,1617741276365,1617741276365,1617741276369,1617741276373,1617741276375,1617741276375
306,TcpNode0,1617741276355,1617741276355,1617741276359,1617741276392,1617741276394,1617741276396
308,TcpNode0,1617741276375,1617741276375,1617741276393,1617741276394,1617741276399,1617741276400
