T0;T1;T2;T3;Value;Jobs;Heartbeat;Cluster;Name
1617112197289;1617112201919;1617112201956;1617112201958;143;24;27;node1:0,node2:25;node3
1617112197285;1617112201938;1617112201960;1617112201962;142;24;26;node1:0,node3:24;node2
1617112197290;1617112201960;1617112201985;1617112201987;145;24;68;node1:0,node2:24;node3
1617112197290;1617112201968;1617112201995;1617112201996;144;24;26;node1:0,node3:24;node2
1617112197291;1617112201996;1617112202021;1617112202023;146;23;29;node1:0,node2:23;node3
1617112197292;1617112202002;1617112202041;1617112202042;147;23;62;node1:0,node3:23;node2
1617112197293;1617112202025;1617112202056;1617112202058;148;22;36;node1:0,node2:22;node3
1617112197299;1617112202049;1617112202065;1617112202067;151;22;46;node1:0,node3:22;node2
1617112197294;1617112202059;1617112202081;1617112202082;149;21;39;node1:0,node2:22;node3
1617112197300;1617112202066;1617112202097;1617112202098;152;22;27;node1:0,node3:21;node2
1617112197296;1617112202083;1617112202109;1617112202111;150;21;39;node1:0,node2:22;node3
1617112197301;1617112202097;1617112202123;1617112202124;153;21;29;node1:0,node3:21;node2
1617112197302;1617112202109;1617112202129;1617112202130;154;21;49;node1:0,node2:21;node3
1617112197304;1617112202129;1617112202146;1617112202147;157;21;29;node1:0,node3:21;node2
1617112197302;1617112202129;1617112202156;1617112202157;155;20;19;node1:0,node2:20;node3
1617112197306;1617112202146;1617112202168;1617112202170;158;20;49;node1:0,node3:20;node2
1617112197303;1617112202157;1617112202168;1617112202171;156;20;19;node1:0,node2:20;node3
1617112197309;1617112202169;1617112202188;1617112202190;160;19;40;node1:0,node2:19;node3
1617112197308;1617112202170;1617112202203;1617112202205;159;19;23;node1:0,node3:19;node2
1617112197311;1617112202189;1617112202210;1617112202211;162;18;21;node1:0,node2:18;node3
1617112197316;1617112202210;1617112202228;1617112202229;167;18;21;node1:0,node2:18;node3
1617112197310;1617112202204;1617112202236;1617112202237;161;18;35;node1:0,node3:18;node2
1617112197320;1617112202230;1617112202252;1617112202254;169;17;38;node1:0,node2:18;node3
1617112197312;1617112202239;1617112202272;1617112202273;163;18;32;node1:0,node3:17;node2
1617112197321;1617112202254;1617112202274;1617112202276;171;17;38;node1:0,node2:18;node3
1617112197313;1617112202273;1617112202295;1617112202296;164;17;36;node1:0,node3:16;node2
1617112197323;1617112202277;1617112202303;1617112202304;173;16;47;node1:0,node2:17;node3
1617112197324;1617112202304;1617112202326;1617112202327;174;15;29;node1:0,node2:16;node3
1617112197314;1617112202295;1617112202328;1617112202331;165;17;36;node1:0,node3:16;node2
1617112197328;1617112202326;1617112202343;1617112202344;176;15;29;node1:0,node2:16;node3
1617112197330;1617112202343;1617112202358;1617112202359;178;15;29;node1:0,node2:16;node3
1617112197315;1617112202329;1617112202366;1617112202369;166;16;60;node1:0,node3:15;node2
1617112197331;1617112202358;1617112202380;1617112202381;179;14;54;node1:0,node2:15;node3
1617112197333;1617112202380;1617112202395;1617112202397;181;14;54;node1:0,node2:15;node3
1617112197319;1617112202367;1617112202397;1617112202399;168;15;35;node1:0,node3:14;node2
1617112197321;1617112202398;1617112202424;1617112202425;170;14;31;node1:0,node3:12;node2
1617112197335;1617112202397;1617112202429;1617112202430;183;12;38;node1:0,node2:14;node3
1617112197322;1617112202426;1617112202445;1617112202447;172;13;27;node1:0,node3:11;node2
1617112197339;1617112202429;1617112202453;1617112202455;185;11;34;node1:0,node2:13;node3
1617112197326;1617112202445;1617112202458;1617112202459;175;13;27;node1:0,node3:11;node2
1617112197341;1617112202454;1617112202479;1617112202480;187;11;24;node1:0,node2:12;node3
1617112197329;1617112202459;1617112202480;1617112202482;177;12;34;node1:0,node3:11;node2
1617112197332;1617112202481;1617112202495;1617112202496;180;12;34;node1:0,node3:11;node2
1617112197342;1617112202480;1617112202499;1617112202500;188;10;26;node1:0,node2:11;node3
1617112197345;1617112202500;1617112202512;1617112202513;191;10;26;node1:0,node2:11;node3
1617112197334;1617112202495;1617112202518;1617112202519;182;11;36;node1:0,node3:10;node2
1617112197346;1617112202513;1617112202535;1617112202537;192;9;33;node1:0,node2:10;node3
1617112197336;1617112202518;1617112202542;1617112202544;184;10;24;node1:0,node3:9;node2
1617112197350;1617112202536;1617112202549;1617112202550;194;9;33;node1:0,node2:10;node3
1617112197340;1617112202543;1617112202562;1617112202564;186;9;24;node1:0,node3:8;node2
1617112197352;1617112202550;1617112202571;1617112202572;196;8;37;node1:0,node2:9;node3
1617112197343;1617112202570;1617112202589;1617112202590;189;9;24;node1:0,node3:8;node2
1617112197353;1617112202573;1617112202598;1617112202599;197;7;21;node1:0,node2:8;node3
1617112197344;1617112202590;1617112202610;1617112202611;190;8;46;node1:0,node3:7;node2
1617112197355;1617112202598;1617112202614;1617112202616;199;7;21;node1:0,node2:8;node3
1617112197356;1617112202615;1617112202638;1617112202639;200;6;44;node1:0,node2:7;node3
1617112197349;1617112202611;1617112202638;1617112202641;193;7;21;node1:0,node3:6;node2
1617112197351;1617112202639;1617112202662;1617112202664;195;6;29;node1:0,node3:5;node2
1617112197357;1617112202639;1617112202663;1617112202665;201;5;24;node1:0,node2:6;node3
1617112197354;1617112202663;1617112202682;1617112202683;198;5;24;node1:0,node3:5;node2
1617112197363;1617112202664;1617112202693;1617112202694;204;5;24;node1:0,node2:5;node3
1617112197360;1617112202683;1617112202700;1617112202701;202;5;24;node1:0,node3:5;node2
1617112197364;1617112202693;1617112202716;1617112202717;205;4;30;node1:0,node2:5;node3
1617112197362;1617112202700;1617112202728;1617112202729;203;5;37;node1:0,node3:4;node2
1617112197365;1617112202719;1617112202736;1617112202737;207;4;30;node1:0,node2:5;node3
1617112197366;1617112202737;1617112202757;1617112202758;208;3;43;node1:0,node2:4;node3
1617112197364;1617112202752;1617112202789;1617112202791;206;4;28;node1:0,node3:3;node2
1617112197371;1617112202781;1617112202795;1617112202797;211;2;24;node1:0,node2:3;node3
1617112197367;1617112202797;1617112202815;1617112202817;209;3;62;node1:0,node3:2;node2
1617112197370;1617112202817;1617112202840;1617112202841;210;2;26;node1:0,node3:2;node2
1617112197372;1617112202866;1617112202883;1617112202884;212;1;30;node1:0,node2:2;node3
1617112197373;1617112202878;1617112202912;1617112202913;213;2;24;node1:0,node3:1;node2
1617112197374;1617112202912;1617112202940;1617112202941;214;2;48;node1:0,node3:2;node2
1617112197375;1617112202930;1617112202957;1617112202959;215;1;47;node1:0,node2:2;node3
1617112197376;1617112202955;1617112202981;1617112202982;216;2;28;node1:0,node3:1;node2
1617112197377;1617112203005;1617112203024;1617112203025;217;1;22;node1:0,node3:1;node2
1617112197389;1617112203033;1617112203062;1617112203063;218;1;20;node1:0,node2:2;node3
1617112197390;1617112203037;1617112203065;1617112203066;219;2;21;node1:0,node3:1;node2
1617112197391;1617112203120;1617112203143;1617112203144;220;2;16;node1:0,node3:1;node2
1617112197392;1617112203140;1617112203163;1617112203164;221;2;18;node1:0,node2:2;node3
1617112197393;1617112203164;1617112203198;1617112203199;222;2;38;node1:0,node3:2;node2
1617112197394;1617112203192;1617112203221;1617112203223;223;2;38;node1:0,node2:2;node3
1617112197395;1617112203227;1617112203242;1617112203244;224;2;18;node1:0,node3:1;node2
1617112197396;1617112203252;1617112203275;1617112203276;225;2;27;node1:0,node3:1;node2
1617112197397;1617112203284;1617112203311;1617112203312;226;1;24;node1:0,node2:2;node3
